Start: Wed  8 May 23:54:49 CEST 2019

Command                                 Data                                             Size         Min         Max         Avg         Mem        User          Wall
ape/pairwise_patristic.R                random-tree-5000.newick                           117Kb      3.223s      3.969s      3.722s   1012.328Mb     3.970s    0:04.46
ape/pairwise_patristic.R                random-tree-10000.newick                          233Kb     17.182s     21.967s     19.340s   3873.613Mb    21.050s    0:22.74
genesis/pairwise_patristic              random-tree-1000.newick                            24Kb      0.038s      0.046s      0.040s     36.347Mb     0.030s    0:00.04
genesis/pairwise_patristic              random-tree-2000.newick                            47Kb      0.189s      0.232s      0.202s    128.542Mb     0.140s    0:00.21
genesis/pairwise_patristic              random-tree-5000.newick                           117Kb      1.410s      1.793s      1.492s    770.894Mb     1.150s    0:01.47
genesis/pairwise_patristic              random-tree-10000.newick                          233Kb      7.361s      9.042s      8.120s   3062.140Mb     7.970s    0:09.24
scikit-bio/pairwise_patristic.py        random-tree-1000.newick                            24Kb      0.505s      0.525s      0.513s    138.160Mb     2.810s    0:02.85
scikit-bio/pairwise_patristic.py        random-tree-2000.newick                            47Kb      2.077s      2.329s      2.163s    181.460Mb     4.900s    0:05.00
scikit-bio/pairwise_patristic.py        random-tree-5000.newick                           117Kb     13.397s     15.137s     13.769s    460.570Mb    15.830s    0:16.04
scikit-bio/pairwise_patristic.py        random-tree-10000.newick                          233Kb     51.995s     54.595s     53.272s   1420.988Mb    54.870s    0:55.47
dendropy/pairwise_patristic.py          random-tree-1000.newick                            24Kb       8.345s      8.345s      8.344s    270.875Mb     8.820s    0:08.98
dendropy/pairwise_patristic.py          random-tree-2000.newick                            47Kb      37.250s     37.250s     37.249s   1015.367Mb    38.640s    0:39.18
dendropy/pairwise_patristic.py          random-tree-5000.newick                           117Kb     248.664s    248.664s    248.663s   5754.578Mb   263.490s    4:26.63
dendropy/pairwise_patristic.py          random-tree-10000.newick                          233Kb # Aborted due to memory consumption

genesis/read_jplace                     random-placements-1000.jplace                     290Kb       0.015s      0.021s      0.017s      7.347Mb     0.020s    0:00.02
genesis/read_jplace                     random-placements-2000.jplace                     548Kb       0.025s      0.032s      0.028s      8.148Mb     0.020s    0:00.03
genesis/read_jplace                     random-placements-5000.jplace                     1.3Mb       0.064s      0.075s      0.068s     13.382Mb     0.060s    0:00.07
genesis/read_jplace                     random-placements-10000.jplace                    2.6Mb       0.129s      0.179s      0.142s     21.531Mb     0.110s    0:00.14
genesis/read_jplace                     random-placements-20000.jplace                    5.1Mb       0.263s      0.282s      0.268s     37.769Mb     0.260s    0:00.27
genesis/read_jplace                     random-placements-50000.jplace                     13Mb       0.629s      0.673s      0.652s     72.285Mb     0.650s    0:00.68
genesis/read_jplace                     random-placements-100000.jplace                    26Mb       1.274s      1.315s      1.284s    127.402Mb     1.260s    0:01.33
genesis/read_jplace                     random-placements-200000.jplace                    51Mb       2.532s      2.569s      2.549s    237.308Mb     2.580s    0:02.67
genesis/read_jplace                     random-placements-500000.jplace                   127Mb       6.064s      6.312s      6.159s    480.589Mb     6.100s    0:06.29
genesis/read_jplace                     random-placements-1000000.jplace                  254Mb      11.911s     12.230s     12.071s    946.445Mb    11.760s    0:12.15
ggtree/read_jplace.R                    random-placements-1000.jplace                     290Kb       0.241s      0.256s      0.248s     82.718Mb     0.990s    0:01.05
ggtree/read_jplace.R                    random-placements-2000.jplace                     548Kb       0.369s      0.381s      0.375s     82.531Mb     1.110s    0:01.18
ggtree/read_jplace.R                    random-placements-5000.jplace                     1.3Mb       0.730s      0.738s      0.733s     88.656Mb     1.470s    0:01.51
ggtree/read_jplace.R                    random-placements-10000.jplace                    2.6Mb       1.428s      1.467s      1.451s    112.949Mb     2.190s    0:02.26
ggtree/read_jplace.R                    random-placements-20000.jplace                    5.1Mb       2.628s      2.668s      2.646s    133.828Mb     3.330s    0:03.41
ggtree/read_jplace.R                    random-placements-50000.jplace                     13Mb       6.359s      6.425s      6.384s    229.890Mb     7.110s    0:07.23
ggtree/read_jplace.R                    random-placements-100000.jplace                    26Mb      12.431s     12.694s     12.580s    388.988Mb    13.200s    0:13.43
ggtree/read_jplace.R                    random-placements-200000.jplace                    51Mb      24.807s     25.065s     24.918s    710.152Mb    25.420s    0:25.79
ggtree/read_jplace.R                    random-placements-500000.jplace                   127Mb      62.853s     64.114s     63.343s   1682.500Mb    63.890s    1:04.63
ggtree/read_jplace.R                    random-placements-1000000.jplace                  254Mb     119.961s    128.920s    123.542s   3307.191Mb   119.970s    2:01.36
guppy/read_jplace.sh                    random-placements-1000.jplace                     290Kb       0.092s      0.102s      0.095s     12.632Mb     0.090s    0:00.10
guppy/read_jplace.sh                    random-placements-2000.jplace                     548Kb       0.116s      0.126s      0.118s     14.843Mb     0.110s    0:00.12
guppy/read_jplace.sh                    random-placements-5000.jplace                     1.3Mb       0.206s      0.221s      0.212s     21.644Mb     0.200s    0:00.21
guppy/read_jplace.sh                    random-placements-10000.jplace                    2.6Mb       0.357s      0.368s      0.363s     32.457Mb     0.360s    0:00.37
guppy/read_jplace.sh                    random-placements-20000.jplace                    5.1Mb       0.652s      0.663s      0.658s     50.914Mb     0.640s    0:00.66
guppy/read_jplace.sh                    random-placements-50000.jplace                     13Mb       1.589s      1.600s      1.594s    106.707Mb     1.550s    0:01.59
guppy/read_jplace.sh                    random-placements-100000.jplace                    26Mb       3.133s      3.160s      3.145s    199.066Mb     3.000s    0:03.14
guppy/read_jplace.sh                    random-placements-200000.jplace                    51Mb       6.187s      6.289s      6.227s    378.679Mb     6.060s    0:06.20
guppy/read_jplace.sh                    random-placements-500000.jplace                   127Mb      15.833s     15.940s     15.887s    981.421Mb    15.400s    0:15.83
guppy/read_jplace.sh                    random-placements-1000000.jplace                  254Mb      32.205s     32.411s     32.273s   1949.980Mb    31.370s    0:32.25

